year,player_id,name,country,position,primary_club,clubs,club_spans,tracked_months,top10_months,best_global_rank,peak_value_million_eur,latest_value_million_eur,latest_month
2018,349066,Alexander Isak,Sweden,Attack,Borussia Dortmund,Borussia Dortmund,Jan-Dec: Borussia Dortmund,12,0,994,6,3,2018-12
2019,349066,Alexander Isak,Sweden,Attack,Willem II Tilburg,Borussia Dortmund | Willem II Tilburg | Real Sociedad,Jan-May: Borussia Dortmund | Jun-Nov: Willem II Tilburg | Dec: Real Sociedad,12,0,912,10,10,2019-12
2020,349066,Alexander Isak,Sweden,Attack,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,303,25,22,2020-12
2021,349066,Alexander Isak,Sweden,Attack,Real Sociedad,Real Sociedad,Jan-Dec: Real Sociedad,12,0,118,40,40,2021-12
2022,349066,Alexander Isak,Sweden,Attack,Real Sociedad,Real Sociedad | Newcastle United,Jan-Aug: Real Sociedad | Sep-Dec: Newcastle United,12,0,78,50,50,2022-12
2023,349066,Alexander Isak,Sweden,Attack,Newcastle United,Newcastle United,Jan-Dec: Newcastle United,12,0,39,70,70,2023-12
2024,349066,Alexander Isak,Sweden,Attack,Newcastle United,Newcastle United,Jan-Dec: Newcastle United,12,0,29,75,75,2024-12
2025,349066,Alexander Isak,Sweden,Attack,Newcastle United,Newcastle United | Liverpool FC,Jan-Sep: Newcastle United | Oct-Dec: Liverpool FC,12,8,5,140,120,2025-12
2026,349066,Alexander Isak,Sweden,Attack,Liverpool FC,Liverpool FC | Liverpool Football Club,Jan-May: Liverpool FC | Jun: Liverpool Football Club,6,6,6,120,120,2026-06
2019,566723,Michael Olise,France,Attack,Reading FC U18,Reading FC U18,Oct-Dec: Reading FC U18,3,0,10765,0.2,0.2,2019-12
2020,566723,Michael Olise,France,Attack,Reading FC,Reading FC U18 | Reading FC,Jan: Reading FC U18 | Feb-Dec: Reading FC,12,0,1108,8,8,2020-12
2021,566723,Michael Olise,France,Attack,Reading FC,Reading FC | Crystal Palace,Jan-Nov: Reading FC | Dec: Crystal Palace,12,0,487,18,18,2021-12
2022,566723,Michael Olise,France,Attack,Crystal Palace,Crystal Palace,Jan-Dec: Crystal Palace,12,0,355,22,22,2022-12
2023,566723,Michael Olise,France,Attack,Crystal Palace,Crystal Palace,Jan-Dec: Crystal Palace,12,0,102,50,50,2023-12
2024,566723,Michael Olise,France,Attack,Crystal Palace,Crystal Palace | Bayern Munich,Jan-Sep: Crystal Palace | Oct-Dec: Bayern Munich,12,0,52,65,65,2024-12
2025,566723,Michael Olise,France,Attack,Bayern Munich,Bayern Munich,Jan-Dec: Bayern Munich,12,2,5,130,130,2025-12
2026,566723,Michael Olise,France,Attack,Bayern Munich,Bayern Munich | FC Bayern München,Jan-May: Bayern Munich | Jun: FC Bayern München,6,6,5,130,130,2026-06
2023,937958,Lamine Yamal,Spain,Attack,FC Barcelona,FC Barcelona,Aug-Dec: FC Barcelona,5,0,70,60,60,2023-12
2024,937958,Lamine Yamal,Spain,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,0,12,120,120,2024-12
2025,937958,Lamine Yamal,Spain,Attack,FC Barcelona,FC Barcelona,Jan-Dec: FC Barcelona,12,1,10,120,120,2025-12
2026,937958,Lamine Yamal,Spain,Attack,Futbol Club Barcelona,Futbol Club Barcelona,Jun: Futbol Club Barcelona,1,0,13,120,120,2026-06
